DISTRICTS,YEAR,YIELD,NDVI_JUN,NDVI_JUL,NDVI_AUG,NDVI_SEP,NDVI_OCT,NDVI_NOV,LAI_JUN,LAI_JUL,LAI_AUG,LAI_SEP,LAI_OCT,LAI_NOV,ET_JUN,ET_JUL,ET_AUG,ET_SEP,ET_OCT,ET_NOV,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV,RF_JUN,RF_JUL,RF_AUG,RF_SEP,RF_OCT,RF_NOV,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,NDVI_summer,LST_autumn
Anuppur,2010.0,0.402314,0.23675213309542648,0.422869,0.43765733305026694,0.635475,0.590291,0.40544377454727226,0.3896642629900596,0.4486657114940762,1.180546,1.550128,0.908865230953665,0.6723003883132329,0.9956182300001528,14.63727,3.195099802081023,3.3807065375991354,21.57419,2.818681800158827,316.1967,308.3168,5.718537088024687,302.5775,303.1825,302.7825,1.5432981099295553,2.6671670936034837,2.3778810449345515,2.2335057177657536,0.8968110284324546,0.16317101684260155,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23907,908.5425
Ashoknagar,2010.0,1.280708,0.18630361785452682,0.442124,0.49275472416349275,0.504908,0.363624,0.3178273531666369,0.23993694953647093,0.44074151423818086,1.567092,1.679581,0.48009937031840444,0.37673636127529253,0.46789578430061984,9.700475,3.0742370299557527,3.122930403340569,12.30021,2.454705141054879,318.6019,309.7163,5.712454761436085,305.5819,309.4097,305.8609,0.5876155391498314,2.5813268193862644,2.228533088504874,1.98244401410461,0.23701174187671145,0.6049676670189442,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283731,920.8525000000001
Balaghat,2010.0,1.741935,0.38804695569083686,0.370348,0.48416044694938637,0.761317,0.681799,0.49845623735581945,0.6982262601698019,0.5106332052547362,1.249341,2.35814,1.1380317000283127,1.0263501503759627,1.8510041589838833,18.69625,3.3490022772573864,3.588103413672216,25.43875,3.044237635266291,313.5907,300.9777,5.708659230594593,301.0198,301.0755,300.5775,1.693350844196178,2.8557573084911105,2.840533544715181,2.6361409382198673,0.992837242660004,0.44512546819231263,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4672589999999999,902.6727999999999
Barwani,2010.0,0.286952,0.21933470686677378,0.338928,0.38673546495855315,0.560045,0.451814,0.36294027569316323,0.22373297756842006,0.39849218703478057,0.774511,1.387226,0.6115292328470234,0.47206462892605083,1.5367867862570634,17.63815,3.071622371064284,3.1321337934199853,14.15041,2.586884701358556,316.8372,303.6777,5.705689322133096,305.0602,308.8047,306.8003,1.6740014957576124,2.1435220673284827,2.4539206712813906,1.8513344423167417,0.7151204894369657,0.7906830634666813,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056343,920.6652
Betul,2010.0,1.095832,0.3099361043636274,0.340311,0.42927603131164915,0.647831,0.56462,0.45586033268504866,0.4799353955701482,0.5013896446113055,0.991651,2.036469,0.8593529054677154,0.7998077008454659,1.6813495601463995,17.61622,3.257283130372081,3.356236625939919,19.03496,2.871085297362998,315.6665,303.7356,5.712131854704243,303.1102,304.5974,302.6561,1.711338328846782,2.79813462920752,2.894514830173923,2.3268783087629537,0.7350704884119829,0.8783774196996362,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2397939999999998,910.3636999999999
Bhind,2010.0,0.0,0.17012751069324863,0.306706,0.3651568704811219,0.402747,0.33004,0.3372262380049979,0.19113592915916416,0.29538755879319467,0.761659,0.765648,0.4354005384455688,0.4979300318865746,0.03373743820980316,2.744291,2.6169942923734832,2.8499663432611255,12.16549,2.3160745991159573,319.6375,312.5538,5.73316326752751,305.4817,308.2032,302.9419,0.7225739352486439,2.304654151016458,2.117921956841704,2.2672489610758797,0.23674739796295322,0.014242098129651106,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932902,916.6268
Bhopal,2010.0,1.156491,0.2061536366305736,0.425647,0.5133252969781338,0.539649,0.397986,0.35076531643704223,0.24818420089365711,0.46148431774578724,1.452432,1.849216,0.5096701564706928,0.43464260788970177,0.9823660715010134,11.36881,3.130697075855824,3.1546747401258983,12.28856,2.4186582231504494,317.4298,308.1823,5.714020882822997,305.2524,309.1694,305.9419,1.1780249517513839,2.678435310621083,2.320144716440742,2.001871275003509,0.3883033506435671,0.5527413559370956,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325427,920.3637000000001
Burhanpur,2010.0,0.520148,0.26688556642171646,0.37296,0.4386006776054977,0.629062,0.564219,0.4342572735167025,0.3449795182929996,0.47652854560415836,0.855206,1.805687,0.7832227747039744,0.6862459215591382,1.6164895908048469,15.13961,3.2085701028710805,3.272192490858107,17.668,2.8878246278239628,317.8928,303.536,5.712994249015269,304.7622,306.5322,305.5185,1.6030813522444824,2.356203961137499,2.491580993387122,1.877406290635041,0.7458454125602962,1.0582582401995766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229387,916.8129
Chhatarpur,2010.0,0.414352,0.2201229940207049,0.450619,0.49233002992931507,0.586854,0.487365,0.36669794541865325,0.2839420874184428,0.5173576435979053,1.285843,1.506345,0.647657015399345,0.48772934635436066,0.20230962441135497,10.87525,3.10959474494328,3.173447403703409,14.63327,2.4150509061339123,319.0835,313.7449,5.714565462055002,304.4466,306.4756,305.0094,0.7048785976043299,2.5167879955545183,2.3326333870654,1.9069780342535214,0.3948671475881682,0.2700889673626058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332973,915.9316
Chhindwara,2010.0,1.985665,0.3275698707465929,0.3778,0.4420130217438086,0.669987,0.562753,0.4485686579006227,0.4992881220232186,0.5483393038439195,1.0032,1.880586,0.8709230044810499,0.7741629531137936,1.7699346987778228,18.22421,3.3083259590040472,3.384273985399315,20.11215,2.892449043288578,315.8294,306.5621,5.714936041726288,303.2788,304.1947,302.5499,1.8416255623148348,3.0047965684288314,2.9769535518874886,2.5075214955590135,0.9410980695906647,0.7551242991049044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.321228,910.0234
